en,ru,pl,be,uk,bg,cs,ca,es,tr,sl
Ahmedabad,Ахмадабад,Ahmadabad,Ахмедабад,Ахмадабад,Ахмедабад,Ahmadábád,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad
Bergamo,Бергамо,Bergamo,Бергама,Бергамо,Бергамо,Bergamo,Bèrgam,Bérgamo,Bergamo,Bergamo
Brescia,Брешиа,Brescia,Брэшыя,Брешія,Бреша,Brescia,Brescia,Brescia,Brescia,Brescia
Limerick,Лимерик,Limerick,Лімерык,Лімерик,Лимерик,Limerick,Limerick,Limerick,Limerick,Limerick
Konstanz,Констанц,Konstancja,Констанц,Констанц,Констанц,Kostnice,Constança,Constanza,Konstanz,Konstanca
Uxmal,Ушмаль,Uxmal,Ушмаль,Ушмаль,Ушмал,Uxmal,Uxmal,Uxmal,Uxmal,Uxmal
Cottbus,Котбус,Chociebuż,Котбус,Котбус,Котбус,Chotěbuz,Cottbus,Cottbus,Cottbus,Cottbus
Besançon,Безансон,Besançon,Безансон,Безансон,Безансон,Besançon,Besançon,Besanzón,Besançon,Besançon
Le Havre,Гавр,Hawr,Гаўр,Гавр,Хавър,Le Havre,Le Havre,El Havre,Le Havre,Le Havre
Cherbourg-Octeville,Шербур-Октевиль,Cherbourg-Octeville,Шэрбур-Актэвіль,Шербур-Октевіль,Шербур-Октевил,Cherbourg-Octeville,Cherbourg-Octeville,Cherburgo-Octeville,Cherbourg-Octeville,Cherbourg-Octeville
Málaga,Малага,Malaga,Малага,Малага,Малага,Málaga,Màlaga,Málaga,Málaga,Málaga
Alicante,Аликанте,Alicante,Алікантэ,Аліканте,Аликанте,Alicante,Alacant,Alicante,Alicante,Alicante
Leeds,Лидс,Leeds,Лідс,Лідс,Лийдс,Leeds,Leeds,Leeds,Leeds,Leeds
Arles,Арль,Arles,Арль,Арль,Арл,Arles,Arle,Arlés,Arles,Arles
Grasse,Грас,Grasse,Грас,Грасс,Грас,Grasse,Grassa,Grasse,Grasse,Grasse
Dijon,Дижон,Dijon,Дыжон,Діжон,Дижон,Dijon,Dijon,Dijon,Dijon,Dijon
Avignon,Авиньон,Awinion,Авіньён,Авіньйон,Авиньон,Avignon,Avinyó,Aviñón,Avignon,Avignon
York,Йорк,York,Ёрк,Йорк,Йорк,York,York,York,York,York
Dallas,Даллас,Dallas,Далас,Даллас,Далас,Dallas,Dallas,Dallas,Dallas,Dallas
Pécs,Печ,Pecz,Печ,Печ,Печ,Pécs,Pécs,Pécs,Peç,Pécs
Eger,Эгер,Eger,Эгер,Егер,Егер,Eger,Eger,Eger,Eğre,Eger
Modena,Модена,Modena,Модэна,Модена,Модена,Modena,Mòdena,Módena,Modena,Modena
Taranto,Таранто,Tarent,Таранта,Таранто,Таранто,Taranto,Tàrent,Tarento,Taranto,Taranto
Ferrara,Феррара,Ferrara,Ферара,Феррара,Ферара,Ferrara,Ferrara,Ferrara,Ferrara,Ferrara
Jeddah,Джидда,Dżudda,Джыда,Джидда,Джида,Džidda,Jiddah,Yeda,Cidde,Džeda
Klaksvík,Клаксвуйк,Klaksvík,Клаксвуйк,Клаксвік,Клаксвуйк,Klaksvík,Klaksvík,Klaksvík,Klaksvík,Klaksvík
Bamberg,Бамберг,Bamberg,Бамберг,Бамберг,Бамберг,Bamberk,Bamberg,Bamberg,Bamberg,Bamberg
Poitiers,Пуатье,Poitiers,Пуацье,Пуатьє,Поатие,Poitiers,Poitiers,Poitiers,Poitiers,Poitiers
Fort Worth,Форт-Уэрт,Fort Worth,Форт-Уэрт,Форт-Верт,Форт Уърт,Fort Worth,Fort Worth,Fort Worth,Fort Worth,Fort Worth
Plzeň,Пльзень,Pilzno,Пльзень,Пльзень,Пилзен,Plzeň,Plzeň,Pilsen,Pilsen,Plzen
Vichy,Виши,Vichy,Вішы,Віші,Виши,Vichy,Vichèi,Vichy,Vichy,Vichy
Burgas,Бургас,Burgas,Бургас,Бургас,Бургас,Burgas,Burgàs,Burgas,Burgaz,Burgas
Dover,Дувр,Dover,Дуўр,Дувр,Дувър,Dover,Dover,Dover,Dover,Dover
Annecy,Анси,Annecy,Ансі,Аннесі,Анси,Annecy,Annecy,Annecy,Annecy,Annecy
Bregenz,Брегенц,Bregencja,Брэгенц,Брегенц,Брегенц,Bregenz,Bregenz,Bregenz,Bregenz,Bregenz
Bari,Бари,Bari,Бары,Барі,Бари,Bari,Bari,Bari,Bari,Bari
Cagliari,Кальяри,Cagliari,Кальяры,Кальярі,Каляри,Cagliari,Càller,Cagliari,Cagliari,Cagliari
Minneapolis,Миннеаполис,Minneapolis,Мінеапаліс,Міннеаполіс,Минеаполис,Minneapolis,Minneapolis,Mineápolis,Minneapolis,Minneapolis
Kutaisi,Кутаиси,Kutaisi,Кутаісі,Кутаїсі,Кутаиси,Kutaisi,Kutaissi,Kutaisi,Kutaisi,Kutaisi
Mtskheta,Мцхета,Mccheta,Мцхета,Мцхета,Мцхета,Mccheta,Mtskheta,Mtsjeta,Mtsheta,Mcheta
Zugdidi,Зугдиди,Zugdidi,Зугдыды,Зугдіді,Зугдиди,Zugdidi,Zúgdidi,Zugdidi,Zugdidi,Zugdidi
Cambridge,Кембридж,Cambridge,Кембрыдж,Кембридж,Кеймбридж,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge
Saint-Lô,Сен-Ло,Saint-Lô,Сен-Ло,Сен-Ло,Сен Ло,Saint-Lô,Saint-Lô,Saint-Lô,Saint-Lô,Saint-Lô
Nanjing,Нанкин,Nankin,Нанкін,Нанкін,Нанкин,Nanking,Nanquín,Nankín,Nankin,Nandžing
Amiens,Амьен,Amiens,Ам’ен,Ам'єн,Амиен,Amiens,Amiens,Amiens,Amiens,Amiens
Melun,Мелён,Melun,Мелён,Мелен,Мелюн,Melun,Melun,Melun,Melun,Melun
Verdun,Верден,Verdun,Вердэн,Верден,Вердюн,Verdun,Verdun,Verdún,Verdun,Verdun
Biarritz,Биарриц,Biarritz,Біярыц,Біарриц,Биариц,Biarritz,Biarritz,Biarritz,Biarritz,Biarritz
Stargard,Старгард,Stargard,Старгард,Старгард,Старгард,Stargard,Stargard,Stargard,Stargard,Stargard
Székesfehérvár,Секешфехервар,Székesfehérvár,Секешфехервар,Секешфегервар,Секешфехервар,Székesfehérvár,Székesfehérvár,Székesfehérvár,Székesfehérvár,Székesfehérvár
Angers,Анже,Angers,Анжэ,Анже,Анже,Angers,Angers,Angers,Angers,Angers
Nîmes,Ним,Nîmes,Нім,Нім,Ним,Nîmes,Nimes,Nimes,Nîmes,Nîmes
Dunkirk,Дюнкерк,Dunkierka,Дзюнкерк,Дюнкерк,Дюнкерк,Dunkerk,Dunkerque,Dunkerque,Dunkerque,Dunkerque
Clermont-Ferrand,Клермон-Ферран,Clermont-Ferrand,Клермон-Феран,Клермон-Ферран,Клермон-Феран,Clermont-Ferrand,Clarmont d'Alvèrnia,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand
Mulhouse,Мюлуз,Miluza,Мюлуз,Мюлуз,Мюлуз,Mylhúzy,Mülhausen,Mulhouse,Mulhouse,Mulhouse
Belfort,Бельфор,Belfort,Бельфор,Бельфор,Белфор,Belfort,Belfort,Belfort,Belfort,Belfort
Rennes,Рен,Rennes,Рэн,Ренн,Рен,Rennes,Rennes,Rennes,Rennes,Rennes
Blois,Блуа,Blois,Блуа,Блуа,Блоа,Blois,Blois,Blois,Blois,Blois
Perpignan,Перпиньян,Perpignan,Перпіньян,Перпіньян,Перпинян,Perpignan,Perpinyà,Perpiñán,Perpignan,Perpignan
Granada,Гранада,Grenada,Гранада,Гранада,Гранада,Granada,Granada,Granada,Granada,Granada
Milwaukee,Милуоки,Milwaukee,Мілуокі,Мілвокі,Милуоки,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee
Saumur,Сомюр,Saumur,Самюр,Сомюр,Сомюр,Saumur,Saumur,Saumur,Saumur,Saumur
Wels,Вельс,Wels,Вельс,Вельс,Велс,Wels,Wels,Wels,Wels,Wels
Kassel,Кассель,Kassel,Касель,Кассель,Касел,Kassel,Kassel,Kassel,Kassel,Kassel
Sliven,Сливен,Sliwen,Слівен,Сливен,Сливен,Sliven,Sliven,Sliven,Sliven,Sliven
Rimini,Римини,Rimini,Рыміні,Ріміні,Римини,Rimini,Rímini,Rímini,Rimini,Rimini
Piacenza,Пьяченца,Piacenza,П’ячэнца,П'яченца,Пиаченца,Piacenza,Piacenza,Plasencia,Piacenza,Piacenza
Villach,Филлах,Villach,Філах,Філлах,Филах,Villach,Villach,Villach,Villach,Beljak
Sankt Pölten,Санкт-Пёльтен,St. Pölten,Санкт-Пёльтэн,Санкт-Пельтен,Санкт Пьолтен,Sankt Pölten,Sankt Pölten,Sankt Pölten,Sankt Pölten,St. Pölten
Osijek,Осиек,Osijek,Осіек,Осієк,Осиек,Osijek,Osijek,Osijek,Osijek,Osijek
Bethlehem,Вифлеем,Betlejem,Віфлеем,Вифлеєм,Витлеем,Betlém,Betlem,Belén,Beytüllahim,Betlehem
Chambéry,Шамбери,Chambéry,Шамберы,Шамбері,Шамбери,Chambéry,Chambèri,Chambéry,Chambéry,Chambéry
Częstochowa,Ченстохова,Częstochowa,Чэнстахова,Ченстохова,Ченстохова,Čenstochová,Częstochowa,Częstochowa,Częstochowa,Čenstohova
Winterthur,Винтертур,Winterthur,Вінтэртур,Вінтертур,Винтертур,Winterthur,Winterthur,Winterthur,Winterthur,Winterthur
Heidelberg,Гейдельберг,Heidelberg,Гайдэльберг,Гайдельберг,Хайделберг,Heidelberg,Heidelberg,Heidelberg,Heidelberg,Heidelberg
Hildesheim,Хильдесхайм,Hildesheim,Гільдэсгайм,Гільдесгайм,Хилдесхайм,Hildesheim,Hildesheim,Hildesheim,Hildesheim,Hildesheim
Đồng Hới,Донгхой,Đồng Hới,Дангхоі,Донгхой,Донгхой,Dong Hoi,Dong Hoi,Đồng Hới,Đồng Hới,Đồng Hới
Tübingen,Тюбинген,Tybinga,Цюбінген,Тюбінген,Тюбинген,Tübingen,Tübingen,Tubinga,Tübingen,Tübingen
Freiburg im Breisgau,Фрайбург-им-Брайсгау,Fryburg Bryzgowijski,Фрайбург,Фрайбург,Фрайбург,Freiburg im Breisgau,Friburg de Brisgòvia,Friburgo de Brisgovia,Freiburg im Breisgau,Freiburg im Breisgau
Aswan,Асуан,Asuan,Асуан,Асуан,Асуан,Asuán,Assuan,Asuán,Asvan,Asuan
Salerno,Салерно,Salerno,Салерна,Салерно,Салерно,Salerno,Salern,Salerno,Salerno,Salerno
Stepanakert,Степанакерт,Stepanakert,Сцепанакерт,Степанакерт,Степанакерт,Stěpanakert,Stepanakert,Stepanakert,Hankendi,Stepanakert
Carcassonne,Каркасон,Carcassonne,Каркасон,Каркассонн,Каркасон,Carcassonne,Carcassona,Carcasona,Carcassonne,Carcassonne
Salamanca,Саламанка,Salamanka,Саламанка,Саламанка,Саламанка,Salamanca,Salamanca,Salamanca,Salamanca,Salamanca
Nanterre,Нантер,Nanterre,Нантэр,Нантер,Нантер,Nanterre,Nanterre,Nanterre,Nanterre,Nanterre
ʽAziziya,Эль-Азизия,Al-Azizijja,Эль-Азізія,Ель-Азізія,Ал Азизия,Azízíja,Azízia,Al Aziziya,El-Aziziye,Al Azizija
Bad Tölz,Бад-Тёльц,Bad Tölz,Бад-Цёльц,Бад-Тельц,Бад Тьолц,Bad Tölz,Bad Tölz,Bad Tölz,Bad Tölz,Bad Tölz
Bayreuth,Байройт,Bayreuth,Байрайт,Байройт,Байройт,Bayreuth,Bayreuth,Bayreuth,Bayreuth,Bayreuth
Memmingen,Мемминген,Memmingen,Мемінген,Меммінген,Меминген,Memmingen,Memmingen,Memmingen,Memmingen,Memmingen
Landshut,Ландсхут,Landshut,Ландсгут,Ландсгут,Ландсхут,Landshut,Landshut,Landshut,Landshut,Landshut
Leuven,Лёвен,Leuven,Лёвен,Левен,Льовен,Lovaň,Lovaina,Lovaina,Leuven,Leuven
Mons,Монс,Mons,Монс,Монс,Монс,Mons,Mons,Mons,Mons,Mons
Valenciennes,Валансьен,Valenciennes,Валансьен,Валансьєнн,Валансиен,Valenciennes,Valenciennes,Valenciennes,Valenciennes,Valenciennes
Sremski Karlovci,Сремски-Карловци,Sremski Karlovci,Срэмскі-Карлаўцы,Сремські Карловці,Сремски Карловци,Sremski Karlovci,Sremski Karlovci,Sremski Karlovci,Karlofça,Sremski Karlovci
Río de la Plata,Ла-Плата,La Plata,Ла-Плата,Ла-Плата,Ла Плата,Río de la Plata,Riu de la Plata,Río de la Plata,Río de la Plata,Río de la Plata
Messina,Мессина,Mesyna,Месіна,Мессіна,Месина,Messina,Messina,Mesina,Messina,Messina
San Salvador de Jujuy,Сан-Сальвадор-де-Жужуй,San Salvador de Jujuy,Сан-Сальвадор-дэ-Жужуй,Сан-Сальвадор-де-Жужуй,Сан Салвадор де Хухуй,San Salvador de Jujuy,San Salvador de Jujuy,San Salvador de Jujuy,San Salvador de Jujuy,San Salvador de Jujuy
Krāslava,Краслава,Krasław,Краслава,Краслава,Краслава,Krāslava,Krāslava,Krāslava,Krāslava,Krāslava
Palma de Mallorca,Пальма,Palma,Пальма-дэ-Мальёрка,Пальма,Палма де Майорка,Palma de Mallorca,Palma,Palma de Mallorca,Palma de Mallorca,Palma de Mallorca
Laon,Лан,Laon,Лан,Лан,Лан,Laon,Laon,Laón,Laon,Laon
Wolfsburg,Вольфсбург,Wolfsburg,Вольфсбург,Вольфсбург,Волфсбург,Wolfsburg,Wolfsburg,Wolfsburgo,Wolfsburg,Wolfsburg
Limburg an der Lahn,Лимбург-ан-дер-Лан,Limburg an der Lahn,Лімбург-на-Лане,Лімбург-ан-дер-Лан,Лимбург ан дер Лан,Limburg an der Lahn,Limburg an der Lahn,Limburgo del Lahn,Limburg an der Lahn,Limburg ob Lahnu
Khimki,Химки,Chimki,Хімкі,Хімки,Химки,Chimki,Khimki,Jimki,Himki,Himki
Balashikha,Балашиха,Bałaszycha,Балашыха,Балашиха,Балашиха,Balašicha,Balaixikha,Balashija,Balaşiha,Balašiha
Independent State of Croatia,Независимое государство Хорватия,Niepodległe Państwo Chorwackie,Незалежная Дзяржава Харватыя,Незалежна Держава Хорватія,Независима хърватска държава,Nezávislý stát Chorvatsko,Estat independent de Croàcia,Estado Independiente de Croacia,Bağımsız Hırvatistan Devleti,Neodvisna država Hrvaška
Duchy of Warsaw,Варшавское герцогство,Księstwo Warszawskie,Герцагства Варшаўскае,Варшавське герцогство,Варшавско херцогство,Varšavské knížectví,Gran Ducat de Varsòvia,Gran Ducado de Varsovia,Varşova Düklüğü,Vojvodina Varšava
Ancona,Анкона,Ankona,Анкона,Анкона,Анкона,Ancona,Ancona,Ancona,Ancona,Ancona
Boulogne-sur-Mer,Булонь-сюр-Мер,Boulogne-sur-Mer,Булонь-сюр-Мэр,Булонь-сюр-Мер,Булон сюр Мер,Boulogne-sur-Mer,Boulogne-sur-Mer,Boulogne-sur-Mer,Boulogne-sur-Mer,Boulogne-sur-Mer
A Coruña,Ла-Корунья,A Coruña,Ла-Карунья,Ла-Корунья,Ла Коруня,A Coruña,La Corunya,La Coruña,A Coruña,A Coruña
Ourense,Оренсе,Ourense,Арэнсэ,Оренсе,Оренсе,Ourense,Ourense,Orense,Ourense,Ourense
Nagano Prefecture,Нагано,Prefektura Nagano,Нагана,Префектура Наґано,Нагано,Prefektura Nagano,Prefectura de Nagano,Prefectura de Nagano,Nagano),Prefektura Nagano
Albertville,Альбервиль,Albertville,Альбервіль,Альбервіль,Албервил,Albertville,Albertville,Albertville,Albertville,Albertville
Baltimore,Балтимор,Baltimore,Балтымар,Балтимор,Балтимор,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore
Mariupol,Мариуполь,Mariupol,Марыупаль,Маріуполь,Мариупол,Mariupol,Mariúpol,Mariúpol,Mariupol,Mariupol
Cádiz,Кадис,Kadyks,Кадыс,Кадіс,Кадис,Cádiz,Cadis,Cádiz,Cádiz,Cádiz
Narbonne,Нарбон,Narbona,Нарбона,Нарбонн,Нарбон,Narbonne,Narbona,Narbona,Narbonne,Narbonne
Huesca,Уэска,Huesca,Уэска,Уеска,Уеска,Huesca,Osca,Huesca,Huesca,Huesca
Segovia,Сеговия,Segowia,Сеговія,Сеговія,Сеговия,Segovia,Segòvia,Segovia,Segovia,Segovia
Almería,Альмерия,Almería,Альмерыя,Альмерія,Алмерия,Almería,Almeria,Almería,Almería,Almeria
Caribbean,Карибы,Karaiby,Карыбы,Кариби,Карибски регион,Karibik,Carib,Caribe,Karayipler,Karibi
United Arab Republic,Объединённая Арабская Республика,Zjednoczona Republika Arabska,Аб’яднаная Арабская Рэспубліка,Об'єднана Арабська Республіка,Обединена арабска република,Sjednocená arabská republika,República Àrab Unida,República Árabe Unida,Birleşik Arap Cumhuriyeti,Združena arabska republika
Rhodes,Родос,Rodos,Родас,Родос,Родос,Rhodos,Illa de Rodes,Rodas,Rodos,Rodos
Chersonesus,Херсонес Таврический,Chersonez Taurydzki,Херсанес Таўрычаскі,Херсонес Таврійський,Херсонес Таврически,Chersonésos,Quersonès,Quersoneso,Hersonisos,Herson
Třebíč,Тршебич,Třebíč,Тршэбіч,Тршебич,Тршебич,Třebíč,Třebíč,Třebíč,Třebíč,Třebíč
Olomouc,Оломоуц,Ołomuniec,Оламаўц,Оломоуць,Оломоуц,Olomouc,Olomouc,Olomouc,Olomouc,Olomuc
Quedlinburg,Кведлинбург,Quedlinburg,Кведлінбург,Кведлінбург,Кведлинбург,Quedlinburg,Quedlinburg,Quedlinburg,Quedlinburg,Quedlinburg
Bayonne,Байонна,Bajonna,Баёна,Байонна,Байон,Bayonne,Baiona,Bayona,Bayonne,Bayonne
Vagharshapat,Вагаршапат,Wagharszapat,Вагаршапат,Вагаршапат,Вагаршапат,Vagharšapat,Edjmiatsín,Echmiadzin,Eçmiyazin,Ečmiadzin
San Diego,Сан-Диего,San Diego,Сан-Дыега,Сан-Дієго,Сан Диего,San Diego,San Diego,San Diego,San Diego,San Diego
Longyearbyen,Лонгйир,Longyearbyen,Лонгйір,Лонг'їр,Лонгирбюен,Longyearbyen,Longyearbyen,Longyearbyen,Longyearbyen,Longyearbyen
Byblos,Библ,Byblos,Бібл,Бібл,Библос,Byblos,Biblos,Biblos,Biblos,Biblos
Sidon,Сайда,Sydon,Сайда,Сайда,Сайда,Sidón,Sidó,Sidón,Sayda,Sidon
Dubna,Дубна,Dubna,Дубна,Дубна,Дубна,Dubna,Dubnà,Dubná,Dubna,Dubna
Stary Oskol,Старый Оскол,Stary Oskoł,Стары Аскол,Старий Оскол,Стари Оскол,Staryj Oskol,Stari Oskol,Stari Oskol,Starıy Oskol,Stari Oskol
Rybinsk,Рыбинск,Rybińsk,Рыбінск,Рибинськ,Рибинск,Rybinsk,Ríbinsk,Rýbinsk,Rıbinsk,Ribinsk
Sint-Truiden,Синт-Трёйден,Sint-Truiden,Сінт-Тройдэн,Сінт-Трейден,Синт Тройден,Sint-Truiden,Sint-Truiden,Sint-Truiden,Sint-Truiden,Sint-Truiden
Lugo,Луго,Lugo,Луга,Луго,Луго,Lugo,Lugo,Lugo,Lugo,Lugo
Pavia,Павия,Pawia,Павія,Павія,Павия,Pavia,Pavia,Pavía,Pavia,Pavia
Lugano,Лугано,Lugano,Лугана,Лугано,Лугано,Lugano,Lugano,Lugano,Lugano,Lugano
Anagni,Ананьи,Anagni,Ананьі,Ананьї,Анани,Anagni,Anagni,Anagni,Anagni,Anagni
Cincinnati,Цинциннати,Cincinnati,Цынцынаці,Цинциннаті,Синсинати,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati
El Paso,Эль-Пасо,El Paso,Эль-Паса,Ель-Пасо,Ел Пасо,El Paso,El Paso,El Paso,El Paso,El Paso
San Antonio,Сан-Антонио,San Antonio,Сан-Антоніа,Сан-Антоніо,Сан Антонио,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio
Louisville,Луисвилл,Louisville,Луісвіл,Луїсвілл,Луисвил,Louisville,Louisville,Louisville,Louisville,Louisville
Sacramento,Сакраменто,Sacramento,Сакрамента,Сакраменто,Сакраменто,Sacramento,Sacramento,Sacramento,Sacramento,Sacramento
Tulsa,Талса,Tulsa,Талса,Талса,Тълса,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa
Colorado Springs,Колорадо-Спрингс,Colorado Springs,Каларада-Спрынгс,Колорадо-Спрінгс,Колорадо Спрингс,Colorado Springs,Colorado Springs,Colorado Springs,Colorado Springs,Colorado Springs
Long Beach,Лонг-Бич,Long Beach,Лонг-Біч,Лонг-Біч,Лонг Бийч,Long Beach,Long Beach,Long Beach,Long Beach,Long Beach
Fresno,Фресно,Fresno,Фрэсна,Фресно,Фресно,Fresno,Fresno,Fresno,Fresno,Fresno
Manchukuo,Маньчжоу-Го,Mandżukuo,Маньчжоу-го,Маньчжурська держава,Манджоу-Го,Mandžukuo,Manxukuo,Manchukuo,Mançukuo,Mandžukuo
Carrara,Каррара,Carrara,Карара,Каррара,Карара,Carrara,Carrara,Carrara,Carrara,Carrara
Bonn,Бонн,Bonn,Бон,Бонн,Бон,Bonn,Bonn,Bonn,Bonn,Bonn
Khiva,Хива,Chiwa,Хіва,Хіва,Хива,Chiva,Khivà,Jiva,Hive,Hiva
Davos,Давос,Davos,Давос,Давос,Давос,Davos,Davos,Davos,Davos,Davos
Atlanta,Атланта,Atlanta,Атланта,Атланта,Атланта,Atlanta,Atlanta,Atlanta,Atlanta,Atlanta
Cleveland,Кливленд,Cleveland,Кліўленд,Клівленд,Кливланд,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland
Kashan,Кашан,Kaszan,Кашан,Кашан,Кашан,Kášán,Kaixan,Kashan,Kaşan,Kašan
Lübeck,Любек,Lubeka,Любек,Любек,Любек,Lübeck,Lübeck,Lübeck,Lübeck,Lübeck
Vercelli,Верчелли,Vercelli,Верчэлі,Верчеллі,Верчели,Vercelli,Vercelli,Vercelli,Vercelli,Vercelli
Mohenjo-daro,Мохенджо-Даро,Mohendżo Daro,Махенджа-Дара,Мохенджо-Даро,Мохенджо-Даро,Mohendžodaro,Mohenjo-Daro,Mohenjo-Daro,Mohenco-daro,Mohendžo-daro
Hamelin,Хамельн,Hameln,Гамельн,Гамельн,Хамелн,Hameln,Hamelín,Hamelín,Hamelin,Hameln
Cardiff,Кардифф,Cardiff,Кардыф,Кардіфф,Кардиф,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff
Saint Helena,Остров Святой Елены,Wyspa Świętej Heleny,Востраў Святой Алены,Острів Святої Єлени,Света Елена,Svatá Helena,Santa Helena,Isla Santa Elena,Saint Helena,Sveta Helena
Prut,Прут,Prut,Прут,Прут,Прут,Prut,Prut,Río Prut,Prut,Prut
Canterbury,Кентербери,Canterbury,Кентэрберы,Кентербері,Кентърбъри,Canterbury,Canterbury,Canterbury,Canterbury,Canterbury
Kerman,Керман,Kerman,Керман,Керман,Керман,Kermán,Kerman,Kermán,Kirman,Kerman
Cremona,Кремона,Cremona,Крэмона,Кремона,Кремона,Cremona,Cremona,Cremona,Cremona,Cremona
Urbino,Урбино,Urbino,Урбіна,Урбіно,Урбино,Urbino,Urbino,Urbino,Urbino,Urbino
Arezzo,Ареццо,Arezzo,Арэца,Ареццо,Арецо,Arezzo,Arezzo,Arezzo,Arezzo,Arezzo
Kremenchuk,Кременчуг,Krzemieńczuk,Крэмэнчук,Кременчук,Кременчук,Kremenčuk,Krementxuk,Kremenchuk,Kremençuk,Kremenčuk
Cluj-Napoca,Клуж-Напока,Kluż-Napoka,Клуж-Напока,Клуж-Напока,Клуж-Напока,Kluž,Cluj-Napoca,Cluj-Napoca,Kaloşvar,Cluj-Napoca
Szekszárd,Сексард,Szekszárd,Сексард,Сексард,Сексард,Szekszárd,Szekszárd,Szekszárd,Szekszárd,Szekszárd
Nyíregyháza,Ньиредьхаза,Nyíregyháza,Ньірэдзьхаза,Ньїредьгаза,Ниредхаза,Nyíregyháza,Nyíregyháza,Nyíregyháza,Nyíregyháza,Nyíregyháza
Győr,Дьёр,Győr,Дзьёр,Дьєр,Дьор,Győr,Győr,Győr,Győr,Gjur
Ingolstadt,Ингольштадт,Ingolstadt,Інгальштат,Інгольштадт,Инголщат,Ingolstadt,Ingolstadt,Ingolstadt,Ingolstadt,Ingolstadt
Vukovar,Вуковар,Vukovar,Вукавар,Вуковар,Вуковар,Vukovar,Vukovar,Vukovar,Vukovar,Vukovar
Mohács,Мохач,Mohacz,Мохач,Мохач,Мохач,Moháč,Mohács,Mohács,Mohaç,Mohač
Rabaul,Рабаул,Rabaul,Рабаул,Рабаул,Рабаул,Rabaul,Rabaul,Rabaul,Rabaul,Rabaul
Cahors,Каор,Cahors,Каор,Каор,Каор,Cahors,Caors,Cahors,Cahors,Cahors
Virginia Beach,Верджиния-Бич,Virginia Beach,Вірджынія-Біч,Вірджинія-Біч,Вирджиния Бийч,Virginia Beach,Virginia Beach,Virginia Beach,Virginia Beach,Virginia Beach
Miami,Майами,Miami,Маямі,Маямі,Маями,Miami,Miami,Miami,Miami,Miami
Alexander Island,Земля Александра I,Wyspa Aleksandra,Зямля Аляксандра I,Земля Олександра I,Земя Александър I,Ostrov Alexandra I.,Illa d'Alexandre I,Isla Alejandro I,Alexander Adası,Aleksandrov otok
Santa Marta,Санта-Марта,Santa Marta,Санта-Марта,Санта-Марта,Санта Марта,Santa Marta,Santa Marta,Santa Marta,Santa Marta,Santa Marta
Ivanovo,Иваново,Iwanowo,Іванава,Іваново,Иваново,Ivanovo,Ivànovo,Ivánovo,İvanovo,Ivanovo
Świnoujście,Свиноуйсьце,Świnoujście,Свінауйсце,Свіноуйсьце,Швиноуйшче,Svinoústí,Świnoujście,Świnoujście,Świnoujście,Świnoujście
Homs,Хомс,Hims,Хомс,Хомс,Хомс,Homs,Homs,Homs,Humus,Homs
Aleppo,Алеппо,Aleppo,Халеб,Алеппо,Халеб,Aleppo,Alep,Alepo,Halep,Alep
Szeged,Сегед,Segedyn,Сегед,Сегед,Сегед,Segedín,Szeged,Szeged,Segedin,Szeged
Tiryns,Тиринф,Tyryns,Тырынф,Тиринф,Тиринт,Tíryns,Tirint,Tirinto,Tirins,Tirint
Saint-Étienne,Сент-Этьен,Saint-Étienne,Сент-Эцьен,Сент-Етьєн,Сент Етиен,Saint-Étienne,Saint-Étienne,Saint-Étienne,Saint-Étienne,Saint-Étienne
Mechelen,Мехелен,Mechelen,Мехелен,Мехелен,Мехелен,Mechelen,Malines,Malinas,Mechelen,Mechelen
Sibiu,Сибиу,Sybin,Сібіу,Сібіу,Сибиу,Sibiu,Sibiu,Sibiu,Sibin,Sibiu
Silistra,Силистра,Silistra,Сілістра,Сілістра,Силистра,Silistra,Silistra,Silistra,Silistre,Silistra
Xi'an,Сиань,Xi’an,Сіянь,Сіань,Сиан,Si-an,Xi'an,Xi'an,Şian,Šjan
Nottingham,Ноттингем,Nottingham,Нотынгем,Ноттінгем,Нотингам,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham
Amboise,Амбуаз,Amboise,Амбуаз,Амбуаз,Амбоаз,Amboise,Amboise,Amboise,Amboise,Amboise
Pergamon,Пергам,Pergamon,Пергам,Пергам,Пергам,Pergamon,Pèrgam,Pérgamo,Pergamon,Pergamon
Samaria,Самария,Samaria,Самарыя,Самарія,Самария,Samařsko,Samaria,Samaria,Samarya,Samarija
Szolnok,Сольнок,Szolnok,Сольнак,Сольнок,Солнок,Szolnok,Szolnok,Szolnok,Solnok,Szolnok
Szombathely,Сомбатхей,Szombathely,Сомбатхей,Сомбатгей,Сомбатхей,Szombathely,Szombathely,Szombathely,Szombathely,Sombotel
Galle,Галле,Galle,Гале,Ґалле,Гале,Galle,Galle,Galle,Galle,Galle
